# Abilities Data
# id // name // max_level
abilities
"Charge Strength S (Set Value)" 7
"Charge Strength M (Set Value)" 7
"Dream Shard Magnet S (Set Value)" 7
"Energizing Cheer S" 6
"Charge Strength S (Value Range)" 7
"Dream Shard Magnet S (Value Range)" 7
"Charge Energy S" 6
"Energy for Everyone S" 6
"Extra Helpful S" 6
"Ingredient Magnet S" 6
"Cooking Power-Up S" 6
"Metronome" 1
"Tasty Chance S" 6
"Helper Boost" 6
close

# SubSkill Data
# id // name
subskills
"Berry Finding S"
"Dream Shard Bonus"
"Energy Recovery Bonus"
"Energy Recovery M"
"Energy Recovery S"
"Helping Bonus"
"Helping Speed M"
"Helping Speed S"
"Ingredient Finder M"
"Ingredient Finder S"
"Inventory Up L"
"Inventory Up M"
"Inventory Up S"
"Research EXP Bonus"
"Skill Level Up M"
"Skill Level Up S"
"Skill Trigger M"
"Skill Trigger S"
"Sleep EXP Bonus"
close

# Natures Data
# id // name
natures
"Lonely"
"Adament"
"Naughty"
"Brave"
"Bold"
"Impish"
"Lax"
"Relaxed"
"Modest"
"Mild"
"Rash"
"Quiet"
"Calm"
"Gentle"
"Careful"
"Sassy"
"Timid"
"Hasty"
"Jolly"
"Naive"
"Bashful"
"Hardy"
"Docile"
"Quirky"
"Serious"
close

# Pokemon Data
# pokedex_num // name // type // ability
pokemon
243 "Raikou" electric 14 sausage herb leek
246 "Larvitar" rock 7 ginger soybeans sausage
247 "Pupitar" rock 7 ginger soybeans sausage
248 "Tyranitar" dark 7 ginger soybeans sausage
280 "Ralts" psychic 8 apple corn leek
281 "Kirlia" psychic 8 apple corn leek
282 "Gardevoir" psychic 8 apple corn leek
287 "Slakoth" normal 10 tomato honey apple
288 "Vigoroth" normal 10 tomato honey apple
289 "Slaking" normal 10 tomato honey apple
302 "Sableye" dark 6 oil mushroom cacao
316 "Gulpin" poison 6 soybeans mushroom honey
317 "Swalot" poison 6 soybeans mushroom honey
333 "Swablu" flying 7 egg soybeans apple
334 "Altaria" dragon 7 egg soybeans apple
353 "Shuppet" ghost 5 oil ginger mushroom
354 "Banette" ghost 5 oil ginger mushroom
359 "Absol" dark 1 cacao apple mushroom
360 "Wynaut" psychic 4 apple oil mushroom
363 "Spheal" ice 10 oil ginger sausage
364 "Sealeo" ice 10 oil ginger sausage
365 "Walrein" ice 10 oil ginger sausage
438 "Bonsly" rock 2 tomato mushroom soybeans
439 "Mime Jr." psychic 1 tomato potato leek
447 "Riolu" fighting 3 oil potato egg
448 "Lucario" fighting 3 oil potato egg
453 "Croagunk" poison 1 oil sausage sausage
454 "Toxicroak" poison 1 oil sausage sausage
459 "Snover" ice 5 tomato egg mushroom
460 "Abomasnow" ice 5 tomato egg mushroom
462 "Magnezone" steel 11 oil tomato tomato
468 "Togekiss" fairy 12 egg ginger cacao
470 "Leafeon" grass 4 milk cacao sausage
471 "Glaceon" ice 11 milk cacao sausage
477 "Gallade" fighting 9 apple corn leek
700 "Sylveon" fairy 8 milk cacao sausage
702 "Dedenne" electric 13 apple cacao corn
759 "Stufful" fighting 5 corn sausage egg
760 "Bewear" fighting 5 corn sausage egg
764 "Comfey" fairy 4 corn ginger cacao
close

# Recipe Data
# dish_type // name // base_strength // leek // mushroom // egg // potato // apple // herb // sausage // milk //
# honey // oil // ginger // tomato // cacao // tail // soybeans // corn
recipes
curry "Mixed Curry" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
curry "Fancy Apple Curry" 668 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
curry "Grilled Tail Curry" 7483 0 0 0 0 0 25 0 0 0 0 0 0 0 8 0 0
curry "Solar Power Tomato Curry" 1973 0 0 0 0 0 5 0 0 0 0 0 10 0 0 0 0
curry "Dream Eater Butter Curry" 9010 0 0 0 18 0 0 0 10 0 0 0 15 12 0 0 0
curry "Spicy Leek Curry" 5900 14 0 0 0 0 8 0 0 0 0 10 0 0 0 0 0
curry "Spre Mushroom Curry" 4041 0 14 0 9 0 0 0 0 0 0 0 0 0 0 0 0
curry "Egg Bomb Curry" 4523 0 0 8 4 11 0 0 0 12 0 0 0 0 0 0 0
curry "Heaty Cheeseburger Curry" 1785 0 0 0 0 0 0 8 8 0 0 0 0 0 0 0 0
curry "Soft Potato Chowder" 3089 0 4 0 8 0 0 0 10 0 0 0 0 0 0 0 0
curry "Simple Chowder" 727 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
curry "Beanburger Curry" 764 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
curry "Mild Honey Curry" 749 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
curry "Ninja Curry" 6159 9 5 0 0 0 0 9 0 0 0 0 0 0 0 15 0
curry "Drought-Katsu Curry" 1815 0 0 0 0 0 0 10 0 0 5 0 0 0 0 0 0
curry "Melta Omelette Curry" 2009 0 0 10 0 0 0 0 0 0 0 0 6 0 0 0 0
curry "Bulk Up Bean Curry" 3274 0 0 4 0 0 4 6 0 0 0 0 0 0 0 12 0
curry "Limber Corn Stew" 4670 0 0 0 8 0 0 0 8 0 0 0 0 0 0 0 14
curry "Inferno Corn Keema Curry" 13690 0 0 0 0 0 27 24 0 0 0 12 0 0 0 0 14
salad "Mixed Salad" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
salad "Slowpoke Tail Pepper Salad" 8169 0 0 0 0 10 0 0 0 15 0 0 0 0 10 0 0
salad "Spore Mushrrom Salad" 5859 0 17 0 0 0 0 0 0 0 8 0 8 0 0 0 0
salad "Snow Cloak Caesar Salad" 1774 0 0 0 0 0 0 6 10 0 0 0 0 0 0 0 0
salad "Gluttony Potato Salad" 5040 0 0 9 14 6 0 7 0 0 0 0 0 0 0 0 0
salad "Water Veil Tofu Salad" 1843 0 0 0 0 0 0 0 0 0 0 0 6 0 0 10 0
salad "Superpower Extreme Salad" 2958 0 0 5 3 0 0 9 0 0 0 6 0 0 0 0 0
salad "Bean Ham Salad" 873 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0
salad "Snoozy Tomato Salad" 933 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0
salad "Moomoo Caprese Salad" 2856 0 0 0 0 0 0 0 12 0 5 0 6 0 0 0 0
salad "Contrary Chocolate Meat Salad" 3558 0 0 0 0 0 0 9 0 0 0 0 0 14 0 0 0
salad "Overheat Ginger Salad" 5225 0 0 0 0 0 17 0 0 0 0 10 8 0 0 0 0
salad "Fancy Apple Salad" 763 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
salad "Immunity Leek Salad" 2658 10 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
salad "Dazzling Apple Cheese Salad" 2578 0 0 0 0 15 0 0 5 0 3 0 0 0 0 0 0
salad "Ninja Salad" 100095 15 12 0 0 0 0 0 0 0 0 11 0 0 0 15 0
salad "Heat Wave Tofu Salad" 1679 0 0 0 0 0 6 0 0 0 0 0 0 0 0 10 0
salad "Greengrass Salad" 11393 0 0 0 9 0 0 0 0 0 22 0 14 0 0 0 17
salad "Calm Mind Fruit Salad" 7675 0 0 0 0 21 0 0 0 16 0 0 0 0 0 0 12
salad "Fury Attack Corn Salad" 2785 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 9
dessert "Mixed Juice" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dessert "Fluffy Sweet Potatoes" 1783 0 0 0 9 0 0 0 5 0 0 0 0 0 0 0 0
dessert "Steadfast Ginger Cookies" 4921 0 0 4 0 0 0 0 0 14 0 12 0 5 0 0 0
dessert "Fancy Apple Juice" 763 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
dessert "Craft Soda Pop" 964 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
dessert "Ember Ginger Tea" 1788 0 0 0 0 7 0 0 0 0 0 9 0 0 0 0 0
dessert "Jigglypuff's Fruity Flan" 7594 0 0 15 0 10 0 0 10 20 0 0 0 0 0 0 0
dessert "Lovely Kiss Smoothie" 4734 0 0 0 0 11 0 0 9 7 0 0 0 8 0 0 0
dessert "Lucky Chant Apple Pie" 1634 0 0 0 0 12 0 0 4 0 0 0 0 0 0 0 0
dessert "Neroli's Rrestorative Tea" 5065 0 9 0 0 15 0 0 0 0 0 11 0 0 0 0 0
dessert "Sweet Scent Chocolate Cake" 3280 0 0 0 0 0 0 0 7 9 0 0 0 8 0 0 0
dessert "Warm Moomoo Milk" 727 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
dessert "Cloud Nine Soy Cake" 1798 0 0 8 0 0 0 0 0 0 0 0 0 0 0 7 0
dessert "Hustle Protein Smoothie" 3168 0 0 0 0 0 0 0 0 0 0 0 0 8 0 15 0
dessert "Stalwart Vegetable Juice" 1798 0 0 0 0 7 0 0 0 0 0 0 9 0 0 0 0
dessert "Big Malasada" 2927 0 0 0 0 0 0 0 7 6 10 0 0 0 0 0 0
dessert "Huge Power Soy Donuts" 3212 0 0 0 0 0 0 0 0 0 9 0 0 7 0 6 0
dessert "Explosive Popcorn" 6048 0 0 0 0 0 0 0 7 0 14 0 0 0 0 0 15
dessert "Teatime Corn Scones" 10925 0 0 0 0 20 0 0 9 0 0 20 0 0 0 0 18
dessert "Petal Dance Chocolate Tart" 3314 0 0 0 0 11 0 0 0 0 0 0 0 11 0 0 0
dessert "Flower Gift Macarons" 13834 0 0 25 0 0 0 0 10 17 0 0 0 25 0 0 0
close

# Berries Data
# name // type
berries
belue steel
bluk ghost
cheri fighting
chesto poison
durin grass
figy ground
grepa electric
leppa fire
lum bug
mago psychic
oran water
pamtre flying
pecha fairy
persim normal
rawst ice
sitrus rock
wiki dark
yache dragon
close
